SUBJECT_NO,GENDER,MODIFIED_DATETIME,DOB,NAME,NATIONALITY_CD,ID,ID_TYPE,DATE_ISSUE,DATE_EXPIRE,LICENSE_PLATE,VEHICLE_MODEL,VEHICLE_TYPE,REG_DATE
3591437c-cffb-4bb5-a00f-d3c430ed694a,M,2/23/2021 4:22,24-04-2020,Elia Kelwick,Serbia,WAUBGAFB3BN849027,2,7/6/2015 21:22,12/11/2015 17:28,1C4RDJEG3EC824202,RX-7,Mazda,1/10/2016 5:11
577e7645-586f-4da8-b0da-92658513df8d,M,7/19/2020 10:06,3/8/2021,Alethea Cornes,China,JTEBC3EH5D2525965,1,5/20/2020 19:13,4/21/2021 6:04,19UUA9F78DA497078,Range Rover Sport,Land Rover,11/19/2019 12:57
444e6e9a-f903-4d88-9a31-4a95c0d15ac9,F,6/27/2021 1:38,21-07-2015,Ram Jacobowits,Namibia,1D7RV1CT5BS533589,1,7/24/2016 14:48,2/28/2015 11:25,SCFLDCFP6EG133157,Mustang,Ford,11/22/2021 19:43
78cefc85-8729-4212-a8ff-e299a9d09281,F,2/13/2021 16:06,24-11-2015,Boycey Breward,China,JH4CL95997C531673,3,7/19/2017 10:06,8/4/2016 9:28,WDDEJ7EB4DA220690,E-Series,Ford,12/5/2016 16:01
f247754f-5cd0-4443-82de-2cc34c6c564f,F,12/15/2018 10:07,22-06-2016,Corene Clewett,Brazil,2C3CDXL9XFH610503,1,6/21/2021 19:31,11/16/2016 15:32,WBA3N7C51EF944549,B-Series Plus,Mazda,6/8/2016 6:04
e3ff1893-9d28-402f-8e2c-2c2684fccd92,F,1/27/2016 7:00,10/5/2020,Rhianna Webermann,Poland,KMHFG4JG7FA298151,3,5/30/2021 4:15,5/30/2017 2:34,KMHFC4DF4BA386759,Express 1500,Chevrolet,12/2/2020 20:54
af9903cb-879e-4e0e-b049-031b11bb9520,M,11/20/2020 19:18,6/7/2017,Hyman Jelly,Argentina,WAU4FAFR6CA370523,3,9/9/2015 0:07,12/24/2019 17:48,1G4GA5ER4DF881946,Savana,GMC,10/4/2020 17:26
6fca7c2b-872c-47d3-a899-ee5c620cb6b6,F,6/2/2020 23:52,13-06-2020,Merrilee Groucutt,Honduras,WBABV134X4J226400,3,10/7/2018 4:33,3/22/2020 3:05,JA32X8HW3AU187612,Elise,Lotus,1/19/2016 10:28
cdc65abc-b524-4070-9362-81c876b386bc,M,9/7/2019 1:07,28-11-2015,Clarette Parzizek,Indonesia,WBAWB33529P550590,1,4/30/2017 8:34,8/26/2020 18:50,19UUA9F79CA045770,Express 3500,Chevrolet,11/27/2020 22:11
a6b4d597-ed04-42f1-9c2f-9a02469314be,M,9/28/2021 6:49,16-02-2021,Matthus Giraudy,Indonesia,WBAYB6C51FD451394,3,3/5/2020 23:04,12/30/2021 18:55,SCBLF34F74C982712,Sonata,Hyundai,10/5/2017 8:47
314f7139-83fd-4e9d-9f9b-6aa5f9a6e513,F,2/25/2015 11:26,21-11-2018,Cyrus Deane,China,1N6BF0KX1FN250695,3,11/29/2017 21:34,8/6/2019 20:25,3VW1K7AJ3CM977906,Crossfire,Chrysler,9/11/2016 10:50
8b94eb64-14ab-411c-8b3f-7c240d9a06b3,M,3/13/2017 2:54,3/9/2020,Orelee Gomm,Guinea-Bissau,WBAUN1C55BV955184,2,10/19/2015 9:55,12/13/2018 12:37,3C63DRNL0CG693278,Precis,Mitsubishi,11/29/2016 9:14
b90323f1-ffc9-4e5a-9972-1faf4c58cb48,F,12/13/2015 17:33,27-07-2019,Oralla Qualtro,Philippines,WBANN73596B550900,3,9/21/2016 2:45,5/7/2015 2:36,1C4SDJCT7FC521197,Continental,Lincoln,12/21/2018 11:24
641f4abb-5fca-4656-b953-b1dc30c57e15,M,11/21/2019 21:41,25-07-2017,Elsinore Blomfield,China,SCFAD02A18G994225,3,2/23/2017 11:51,2/27/2021 16:35,3VW507AT3FM821796,4Runner,Toyota,8/31/2015 0:27
ea7e64e6-dc43-4c66-be73-72e4b0b95840,M,12/15/2018 17:53,13-10-2020,Hi McBrearty,Portugal,JN1CV6EK6AM804022,3,1/11/2019 19:35,1/2/2015 1:54,KMHHT6KD8AU750782,Pilot,Honda,6/1/2018 5:15
4e6968aa-d8d2-479d-8e44-3c4849ee94ec,M,2/11/2015 0:50,4/6/2017,Hester Ericsson,Indonesia,KM8NU4CC5AU021360,1,6/21/2018 6:43,8/7/2015 12:34,2C3CCAPG9DH880005,Rabbit,Volkswagen,2/5/2021 20:49
12a900ef-cf28-4160-ac58-2fbca01ca7d2,F,9/10/2017 7:24,26-02-2016,Gwynne Essame,Latvia,WAUFFAFC3DN068993,3,2/2/2019 4:39,1/13/2015 12:34,1G4GC5EC1BF956802,1500,Ram,5/10/2015 2:53
0291b324-d172-4e12-b7b3-3aed128e8ca5,M,9/11/2018 18:56,24-07-2015,Guglielmo Finnick,Brazil,JN8AZ1MUXAW734869,3,4/28/2018 20:15,2/27/2019 14:30,JN8AZ2KRXDT646558,Cavalier,Chevrolet,7/25/2015 23:52
dccc675c-3300-43cb-a928-1b9db700d055,F,6/28/2018 14:08,1/6/2015,Blake Thomke,Japan,WBAAV33431F130615,2,1/23/2020 9:41,2/20/2018 3:25,WAUFGAFB7BN960424,D350,Dodge,8/29/2017 11:23
7af30aeb-a81a-44fc-bb9f-e025214535ae,F,6/29/2016 2:58,12/4/2016,Theodore Ireland,Brazil,SCFFDAAEXCG557543,3,6/1/2021 5:09,11/29/2015 4:11,WBAEB53529C892233,Cube,Nissan,9/6/2021 0:34
